Image,Title,Price,Rating,Author
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/61MUPtWMhxL._AC_UY218_.jpg,English Conversation Practice,? 168,4.2 out of 5 stars,Grant Taylor
,,,,
https://m.media-amazon.com/images/I/71S-p+5smhL._AC_UY218_.jpg,"Programming in ANSI C, 8/e",? 451,4.5 out of 5 stars,Balagurusamy
,,,,
https://m.media-amazon.com/images/I/71hvT4RFiuL._AC_UY218_.jpg,Electronic Devices and Circuit Theory,? 528,4.3 out of 5 stars,Boylestad / Nashelsky
,,,,
https://m.media-amazon.com/images/I/71MgQIMnAWL._AC_UY218_.jpg,Artificial Intelligence 3e: A Modern Approach,? 573,4.2 out of 5 stars,Russell
,,,,
https://m.media-amazon.com/images/I/51OFLTn-+ML._AC_UY218_.jpg,Objective Computer Awareness,? 122,4.1 out of 5 stars,Arihant Experts
,,,,
https://m.media-amazon.com/images/I/51z+MsmqesL._AC_UY218_.jpg,"Core Java: An Integrated Approach, New: Includes All Versions upto Java 8",? 457,4.6 out of 5 stars,R. Nageswara Rao
,,,,
https://m.media-amazon.com/images/I/51CPbp1+axL._AC_UY218_.jpg,Emotional Intelligence,? 320,3.9 out of 5 stars,"
    
        
        
            Daniel Goleman
        
    
"
,,,,
https://m.media-amazon.com/images/I/51Ss-7j3v5L._AC_UY218_.jpg,Core Python Programming,? 566,4.5 out of 5 stars,R. Nageswara Rao
,,,,
https://m.media-amazon.com/images/I/41-W3W0t02L._AC_UY218_.jpg,Python Programming: Using Problem Solving Approach,? 367,4.4 out of 5 stars,"
    
        
        
            Reema Thareja
        
    
"
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51Kuxrs6BLL._AC_UY218_.jpg,Engineering Thermodynamics,? 483,4.5 out of 5 stars,PK Nag
,,,,
https://m.media-amazon.com/images/I/51guxh98FhL._AC_UY218_.jpg,Let Us C solutions,? 282,4.1 out of 5 stars,Yashavant Kanetkar
,,,,
https://m.media-amazon.com/images/I/81i+hUbCS3L._AC_UY218_.jpg,Advanced English Grammar with Answers,? 215,4.3 out of 5 stars,Hewings
,,,,
https://m.media-amazon.com/images/I/71ekuh2tu+L._AC_UY218_.jpg,Advanced Educational Psychology,? 284,4.3 out of 5 stars,Mangal S.K
,,,,
https://m.media-amazon.com/images/I/51Ucq9ycHmL._AC_UY218_.jpg,A Textbook of Fluid Mechanics and Hydraulic Machines,? 660,4.5 out of 5 stars,R.K. Bansal
,,,,
https://m.media-amazon.com/images/I/71rglLFOOhL._AC_UY218_.jpg,An Introduction to Mechanics (SIE),? 499,4.3 out of 5 stars,David Kleppner
,,,,
